algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,T0,cooling_rate,t,lam,alpha,init_method,display_name
ClassicalDegree,ext_mc_C1000-9,maximum_clique,51.0,0.2875123789999634,51,51,0,0.0,False,"[128, 513, 2, 644, 772, 652, 655, 527, 18, 147, 283, 668, 156, 927, 418, 674, 162, 294, 937, 940, 816, 305, 438, 699, 59, 446, 576, 967, 72, 968, 204, 78, 719, 720, 469, 344, 988, 350, 863, 482, 483, 997, 872, 489, 363, 749, 239, 623, 882, 627, 246]",C1000-9,ClassicalDegree,0,0,1.9861468829985824,1000,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
SimulatedAnnealing,ext_mc_C1000-9,maximum_clique,51.0,2.7164505219989223,2000,51,0,0.0,False,"[259, 260, 899, 7, 10, 523, 655, 18, 539, 155, 798, 926, 546, 290, 803, 421, 680, 298, 427, 947, 564, 436, 566, 182, 570, 578, 581, 839, 329, 590, 851, 852, 981, 602, 860, 732, 735, 96, 864, 98, 993, 741, 486, 490, 108, 492, 110, 878, 881, 761, 892]",C1000-9,SimulatedAnnealing,0,0,4.422762000998773,1000,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
ClassicalDegree,ext_mc_C1000-9,maximum_clique,51.0,0.36522142000467284,51,51,0,0.0,False,"[128, 513, 2, 644, 772, 652, 655, 527, 18, 147, 283, 668, 156, 927, 418, 674, 162, 294, 937, 940, 816, 305, 438, 699, 59, 446, 576, 967, 72, 968, 204, 78, 719, 720, 469, 344, 988, 350, 863, 482, 483, 997, 872, 489, 363, 749, 239, 623, 882, 627, 246]",C1000-9,ClassicalDegree,1,1,2.6884376779999,1000,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
SimulatedAnnealing,ext_mc_C1000-9,maximum_clique,49.0,2.871184618998086,2000,49,0,0.0,False,"[643, 391, 266, 397, 783, 529, 276, 22, 534, 538, 288, 800, 290, 291, 416, 162, 422, 935, 41, 812, 305, 951, 441, 186, 959, 323, 69, 72, 975, 848, 720, 851, 340, 724, 860, 220, 617, 746, 363, 107, 750, 628, 501, 631, 504, 890, 507, 380, 510]",C1000-9,SimulatedAnnealing,1,1,5.278335850001895,1000,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
ClassicalClique,ext_mc_C1000-9,maximum_clique,60.0,22.66324093399453,60,60,0,0.0,False,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,ClassicalClique,0,0,24.605894041000283,1000,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
ClassicalClique,ext_mc_C1000-9,maximum_clique,60.0,30.00697771400155,60,60,0,0.0,False,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,ClassicalClique,1,1,32.86739598800341,1000,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
ClassicalDegree,ext_mc_C1000-9,maximum_clique,51.0,1.7640328449997469,51,51,0,0.0,False,"[128, 513, 2, 644, 772, 652, 655, 527, 18, 147, 283, 668, 156, 927, 418, 674, 162, 294, 937, 940, 816, 305, 438, 699, 59, 446, 576, 967, 72, 968, 204, 78, 719, 720, 469, 344, 988, 350, 863, 482, 483, 997, 872, 489, 363, 749, 239, 623, 882, 627, 246]",C1000-9,ClassicalDegree,2,2,7.4934010170036345,1000,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
QuantumGreedy(krylov_m30),ext_mc_C1000-9,maximum_clique,48.0,45.54844881500321,47,48,0,0.0,False,"[128, 3, 132, 265, 395, 655, 666, 539, 156, 669, 288, 419, 37, 431, 688, 816, 435, 567, 439, 189, 446, 836, 708, 198, 837, 970, 717, 721, 338, 468, 218, 475, 734, 353, 866, 100, 616, 235, 364, 620, 492, 879, 627, 373, 886, 763, 892, 637]",C1000-9,QuantumGreedy_krylov_m30,0,0,48.2540611420045,1000,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
SimulatedAnnealing,ext_mc_C1000-9,maximum_clique,50.0,5.331705664000765,2000,50,0,0.0,False,"[387, 4, 645, 648, 649, 527, 659, 151, 539, 155, 30, 287, 926, 801, 161, 676, 680, 553, 939, 684, 435, 950, 823, 439, 696, 570, 697, 446, 63, 64, 321, 319, 968, 331, 461, 978, 340, 344, 349, 735, 353, 993, 998, 872, 250, 492, 237, 110, 626, 122]",C1000-9,SimulatedAnnealing,2,2,8.665355926998018,1000,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),ext_mc_C1000-9,maximum_clique,48.0,50.8003946989993,47,48,0,0.0,False,"[128, 3, 132, 265, 395, 655, 666, 539, 156, 669, 288, 419, 37, 431, 688, 816, 435, 567, 439, 189, 446, 836, 708, 198, 837, 970, 717, 721, 338, 468, 218, 475, 734, 353, 866, 100, 616, 235, 364, 620, 492, 879, 627, 373, 886, 763, 892, 637]",C1000-9,QuantumGreedy_krylov_m30,1,1,52.57883451499947,1000,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
QuantumGreedy(cheb_d50),ext_mc_C1000-9,maximum_clique,52.0,70.00941880799655,51,52,0,0.0,False,"[512, 897, 513, 776, 137, 650, 652, 397, 528, 529, 273, 409, 26, 284, 30, 418, 547, 676, 166, 181, 309, 55, 313, 700, 60, 62, 959, 703, 962, 195, 199, 328, 459, 590, 465, 854, 218, 475, 986, 93, 612, 746, 874, 237, 627, 756, 885, 633, 762, 379, 765, 894]",C1000-9,QuantumGreedy_cheb_d50,0,0,72.00007112400635,1000,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalDegree,ext_mc_C250-9,maximum_clique,35.0,0.013265430003229994,35,35,0,0.0,False,"[5, 135, 137, 16, 149, 28, 158, 160, 40, 173, 49, 179, 182, 183, 62, 63, 190, 65, 194, 196, 197, 72, 201, 203, 211, 83, 85, 84, 93, 229, 110, 112, 241, 247, 124]",C250-9,ClassicalDegree,0,0,1.72023718499986,250,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,ext_mc_C250-9,maximum_clique,42.0,0.6919633139987127,42,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,ClassicalClique,0,0,3.3663370549984393,250,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
