algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,T0,cooling_rate,t,lam,alpha,init_method,display_name
ClassicalDegree,mc_n300_p005_k15_000,maximum_clique,15.0,0.0018984690032084472,15,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 44, 204, 110, 209, 220, 150, 282, 252]",mc_n300_p005_k15,ClassicalDegree,0,0,1.2148961350030731,300,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,mc_n300_p005_k15_000,maximum_clique,15.0,0.007323411999095697,15,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",mc_n300_p005_k15,ClassicalClique,0,0,1.2229409939973266,300,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,mc_n300_p005_k15_000,maximum_clique,3.0,0.07129483999597142,2000,3,15,0.0,False,"[162, 3, 197]",mc_n300_p005_k15,SimulatedAnnealing,0,0,1.286300736006524,300,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
ClassicalDegree,mc_n300_p005_k15_000,maximum_clique,15.0,0.0025149150023935363,15,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 44, 204, 110, 209, 220, 150, 282, 252]",mc_n300_p005_k15,ClassicalDegree,1,1,1.1145515099997283,300,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
QuantumGreedy(krylov_m30),mc_n300_p005_k15_000,maximum_clique,15.0,0.5555359819991281,14,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",mc_n300_p005_k15,QuantumGreedy_krylov_m30,0,0,1.7217707300005713,300,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalClique,mc_n300_p005_k15_000,maximum_clique,15.0,0.010912386998825241,15,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",mc_n300_p005_k15,ClassicalClique,1,1,1.304554084999836,300,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,mc_n300_p005_k15_000,maximum_clique,3.0,0.17818342900136486,2000,3,15,0.0,False,"[51, 163, 55]",mc_n300_p005_k15,SimulatedAnnealing,1,1,1.8978669389980496,300,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),mc_n300_p005_k15_000,maximum_clique,15.0,0.6767376829957357,14,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",mc_n300_p005_k15,QuantumGreedy_krylov_m30,1,1,2.8778275170043344,300,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,mc_n300_p005_k15_001,maximum_clique,15.0,0.005723335998482071,15,15,15,1.0,False,"[288, 192, 0, 262, 295, 169, 42, 9, 43, 80, 178, 279, 184, 189, 94]",mc_n300_p005_k15,ClassicalDegree,0,0,2.1427840319956886,300,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
QuantumGreedy(cheb_d50),mc_n300_p005_k15_000,maximum_clique,15.0,6.056730550000793,14,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",mc_n300_p005_k15,QuantumGreedy_cheb_d50,0,0,7.79468611899938,300,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalClique,mc_n300_p005_k15_001,maximum_clique,15.0,0.011164809999172576,15,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",mc_n300_p005_k15,ClassicalClique,0,0,1.3679756779965828,300,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,mc_n300_p005_k15_001,maximum_clique,3.0,0.12828379900020082,2000,3,15,0.06666666666666667,False,"[288, 153, 296]",mc_n300_p005_k15,SimulatedAnnealing,0,0,1.5818184270028723,300,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
