algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,K,n_seeds_tried,timeout_limit,display_name
ClassicalClique,ext_mc_C1000-9,maximum_clique,60,11.1195125,60,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,ClassicalClique,0,0,12.26271171,1000,external,ClassicalClique,N/A,0,,,ClassicalClique
MS_Random(K=5),ext_mc_C1000-9,maximum_clique,59,52.19242699,287,59,0,0,FALSE,"[903, 392, 527, 16, 656, 147, 787, 789, 534, 409, 283, 31, 160, 161, 418, 927, 36, 295, 298, 682, 683, 812, 430, 45, 43, 427, 813, 820, 181, 567, 313, 573, 578, 194, 707, 839, 203, 844, 589, 719, 975, 209, 472, 348, 605, 734, 351, 989, 612, 614, 105, 617, 492, 368, 116, 501, 246, 762, 510]",C1000-9,MS_Random_K5,0,0,53.30838538,1000,external,MS_Random,N/A,5,5,,MS_Random
MS_Degree(K=5),ext_mc_C1000-9,maximum_clique,60,52.51709419,289,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_Degree_K5,0,0,53.62472369,1000,external,MS_Degree,N/A,5,5,,MS_Degree
MS_Random(K=10),ext_mc_C1000-9,maximum_clique,60,102.2728458,572,60,0,0,FALSE,"[131, 644, 643, 263, 655, 16, 527, 787, 148, 789, 20, 794, 283, 668, 158, 801, 674, 547, 934, 680, 45, 310, 311, 823, 185, 822, 444, 190, 62, 574, 832, 577, 578, 195, 958, 581, 322, 327, 72, 584, 78, 719, 218, 219, 989, 734, 737, 99, 355, 998, 103, 230, 747, 110, 368, 627, 629, 246, 118, 636]",C1000-9,MS_Random_K10,0,0,103.3691755,1000,external,MS_Random,N/A,10,10,,MS_Random
MS_Degree(K=10),ext_mc_C1000-9,maximum_clique,60,105.5596345,580,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_Degree_K10,0,0,106.6409103,1000,external,MS_Degree,N/A,10,10,,MS_Degree
"MS_CTQW(K=5,krylov_m30)",ext_mc_C1000-9,maximum_clique,60,52.92035294,290,60,0,0,FALSE,"[128, 643, 261, 6, 263, 776, 777, 525, 782, 527, 143, 147, 787, 275, 917, 789, 284, 542, 31, 800, 33, 549, 681, 425, 299, 553, 812, 305, 180, 438, 567, 311, 695, 955, 65, 70, 456, 203, 204, 461, 719, 977, 724, 340, 598, 344, 218, 861, 351, 869, 102, 617, 363, 747, 238, 623, 760, 368, 246, 504]",C1000-9,MS_CTQW_K5_krylov_m30,0,0,53.90506718,1000,external,MS_CTQW,krylov_m30,5,5,,MS_CTQW_krylov_m30
"MS_CTQW(K=5,cheb_d50)",ext_mc_C1000-9,maximum_clique,60,52.81548765,290,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_CTQW_K5_cheb_d50,0,0,53.85585628,1000,external,MS_CTQW,cheb_d50,5,5,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",ext_mc_C1000-9,maximum_clique,60,105.0738652,580,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_CTQW_K10_cheb_d50,0,0,106.1427922,1000,external,MS_CTQW,cheb_d50,10,10,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,krylov_m30)",ext_mc_C1000-9,maximum_clique,60,106.3321232,578,60,0,0,FALSE,"[128, 643, 261, 6, 263, 776, 777, 525, 782, 527, 143, 147, 787, 275, 917, 789, 284, 542, 31, 800, 33, 549, 681, 425, 299, 553, 812, 305, 180, 438, 567, 311, 695, 955, 65, 70, 456, 203, 204, 461, 719, 977, 724, 340, 598, 344, 218, 861, 351, 869, 102, 617, 363, 747, 238, 623, 760, 368, 246, 504]",C1000-9,MS_CTQW_K10_krylov_m30,0,0,107.325911,1000,external,MS_CTQW,krylov_m30,10,10,,MS_CTQW_krylov_m30
MS_Random(K=20),ext_mc_C1000-9,maximum_clique,63,210.9414214,1157,63,0,0,FALSE,"[901, 394, 139, 780, 782, 655, 913, 22, 406, 795, 284, 668, 542, 670, 671, 673, 546, 34, 292, 932, 294, 807, 296, 678, 809, 552, 940, 936, 305, 50, 820, 54, 439, 183, 825, 699, 62, 703, 321, 579, 195, 837, 204, 76, 78, 207, 464, 720, 216, 345, 986, 859, 858, 607, 96, 741, 242, 627, 246, 758, 762, 763, 381]",C1000-9,MS_Random_K20,0,0,211.9505016,1000,external,MS_Random,N/A,20,20,,MS_Random
