algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,K,n_seeds_tried,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,display_name
MS_Degree(K=5),mc_n300_p005_k15_000,maximum_clique,15.0,0.012748774999636225,70,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",5,5.0,mc_n300_p005_k15,MS_Degree_K5,0,0,1.2144436000016867,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=5),mc_n300_p005_k15_000,maximum_clique,3.0,0.0056516960030421615,8,3,15,0.0,False,"[148, 189, 198]",5,5.0,mc_n300_p005_k15,MS_Random_K5,0,0,1.3434696509939386,300,external,MS_Random,N/A,MS_Random
ClassicalClique,mc_n300_p005_k15_000,maximum_clique,15.0,0.011660055002721492,15,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",0,,mc_n300_p005_k15,ClassicalClique,0,0,1.4079916659975424,300,external,ClassicalClique,N/A,ClassicalClique
MS_Degree(K=10),mc_n300_p005_k15_000,maximum_clique,15.0,0.024626091995742172,140,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",10,10.0,mc_n300_p005_k15,MS_Degree_K10,0,0,1.299049182998715,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=10),mc_n300_p005_k15_000,maximum_clique,3.0,0.009857827004452702,20,3,15,0.0,False,"[33, 18, 247]",10,10.0,mc_n300_p005_k15,MS_Random_K10,0,0,1.4045219420004287,300,external,MS_Random,N/A,MS_Random
MS_Random(K=20),mc_n300_p005_k15_000,maximum_clique,4.0,0.10118898700602585,42,4,15,0.2,False,"[164, 204, 76, 102]",20,20.0,mc_n300_p005_k15,MS_Random_K20,0,0,1.3243766730010975,300,external,MS_Random,N/A,MS_Random
MS_Random(K=30),mc_n300_p005_k15_000,maximum_clique,15.0,0.09382381400064332,73,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",30,30.0,mc_n300_p005_k15,MS_Random_K30,0,0,1.4764984719950007,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=30),mc_n300_p005_k15_000,maximum_clique,15.0,0.11772175900114235,231,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",30,30.0,mc_n300_p005_k15,MS_Degree_K30,0,0,1.45526803300163,300,external,MS_Degree,N/A,MS_Degree
"MS_CTQW(K=5,krylov_m30)",mc_n300_p005_k15_000,maximum_clique,15.0,0.05258850799873471,70,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",5,5.0,mc_n300_p005_k15,MS_CTQW_K5_krylov_m30,0,0,1.3715258770025684,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
MS_Degree(K=20),mc_n300_p005_k15_000,maximum_clique,15.0,0.16371415199682815,209,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",20,20.0,mc_n300_p005_k15,MS_Degree_K20,0,0,1.635234744004265,300,external,MS_Degree,N/A,MS_Degree
"MS_CTQW(K=10,krylov_m30)",mc_n300_p005_k15_000,maximum_clique,15.0,0.12150646699592471,140,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",10,10.0,mc_n300_p005_k15,MS_CTQW_K10_krylov_m30,0,0,1.7636867789988173,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=10,cheb_d50)",mc_n300_p005_k15_000,maximum_clique,15.0,0.805277361003391,140,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",10,10.0,mc_n300_p005_k15,MS_CTQW_K10_cheb_d50,0,0,2.3358603040032904,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=20,krylov_m30)",mc_n300_p005_k15_000,maximum_clique,15.0,0.23210771599406144,208,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",20,20.0,mc_n300_p005_k15,MS_CTQW_K20_krylov_m30,0,0,2.3480283339958987,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=5,cheb_d50)",mc_n300_p005_k15_000,maximum_clique,15.0,0.506049403003999,70,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",5,5.0,mc_n300_p005_k15,MS_CTQW_K5_cheb_d50,0,0,2.7814518329978455,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",mc_n300_p005_k15_000,maximum_clique,15.0,0.8439245720001054,208,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",20,20.0,mc_n300_p005_k15,MS_CTQW_K20_cheb_d50,0,0,2.8097573419945547,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=30,krylov_m30)",mc_n300_p005_k15_000,maximum_clique,15.0,0.2153975109977182,241,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",30,30.0,mc_n300_p005_k15,MS_CTQW_K30_krylov_m30,0,0,1.6437713390041608,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
ClassicalClique,mc_n300_p005_k15_000,maximum_clique,15.0,0.007563934996142052,15,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",0,,mc_n300_p005_k15,ClassicalClique,1,1,1.2529124790016795,300,external,ClassicalClique,N/A,ClassicalClique
MS_Random(K=5),mc_n300_p005_k15_000,maximum_clique,3.0,0.005544204999750946,10,3,15,0.0,False,"[152, 179, 254]",5,5.0,mc_n300_p005_k15,MS_Random_K5,1,1,1.4423501350029255,300,external,MS_Random,N/A,MS_Random
"MS_CTQW(K=30,cheb_d50)",mc_n300_p005_k15_000,maximum_clique,15.0,0.5419772980021662,241,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",30,30.0,mc_n300_p005_k15,MS_CTQW_K30_cheb_d50,0,0,1.8679014459994505,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
MS_Degree(K=5),mc_n300_p005_k15_000,maximum_clique,15.0,0.02245495199895231,70,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",5,5.0,mc_n300_p005_k15,MS_Degree_K5,1,1,1.7250720390002243,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=10),mc_n300_p005_k15_000,maximum_clique,15.0,0.013282879997859709,32,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 44, 204, 110, 209, 252, 150, 282, 220]",10,10.0,mc_n300_p005_k15,MS_Random_K10,1,1,1.4038040449959226,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=10),mc_n300_p005_k15_000,maximum_clique,15.0,0.03756363000138663,140,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",10,10.0,mc_n300_p005_k15,MS_Degree_K10,1,1,1.3773223839962156,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=20),mc_n300_p005_k15_000,maximum_clique,15.0,0.1449563880014466,52,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",20,20.0,mc_n300_p005_k15,MS_Random_K20,1,1,1.5346259829966584,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=20),mc_n300_p005_k15_000,maximum_clique,15.0,0.15028904000064358,209,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",20,20.0,mc_n300_p005_k15,MS_Degree_K20,1,1,1.5583150180027587,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=30),mc_n300_p005_k15_000,maximum_clique,15.0,0.09452951099956408,72,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",30,30.0,mc_n300_p005_k15,MS_Random_K30,1,1,1.3981934199982788,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=30),mc_n300_p005_k15_000,maximum_clique,15.0,0.1240518120030174,231,15,15,1.0,False,"[64, 290, 34, 164, 102, 136, 170, 204, 44, 110, 209, 252, 150, 282, 220]",30,30.0,mc_n300_p005_k15,MS_Degree_K30,1,1,1.5264734029988176,300,external,MS_Degree,N/A,MS_Degree
"MS_CTQW(K=5,krylov_m30)",mc_n300_p005_k15_000,maximum_clique,15.0,0.11239388700050768,70,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",5,5.0,mc_n300_p005_k15,MS_CTQW_K5_krylov_m30,1,1,1.4235880699998233,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=10,krylov_m30)",mc_n300_p005_k15_000,maximum_clique,15.0,0.1184865270042792,140,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",10,10.0,mc_n300_p005_k15,MS_CTQW_K10_krylov_m30,1,1,1.8492841430052067,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=5,cheb_d50)",mc_n300_p005_k15_000,maximum_clique,15.0,0.5919544889984536,70,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",5,5.0,mc_n300_p005_k15,MS_CTQW_K5_cheb_d50,1,1,2.2729474149964517,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",mc_n300_p005_k15_000,maximum_clique,15.0,0.5156577280067722,140,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",10,10.0,mc_n300_p005_k15,MS_CTQW_K10_cheb_d50,1,1,1.956755911000073,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=20,krylov_m30)",mc_n300_p005_k15_000,maximum_clique,15.0,0.2048349370015785,208,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",20,20.0,mc_n300_p005_k15,MS_CTQW_K20_krylov_m30,1,1,1.7469764349953039,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=20,cheb_d50)",mc_n300_p005_k15_000,maximum_clique,15.0,0.5900143910039333,208,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",20,20.0,mc_n300_p005_k15,MS_CTQW_K20_cheb_d50,1,1,2.457407501002308,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=30,krylov_m30)",mc_n300_p005_k15_000,maximum_clique,15.0,0.18910842299374053,241,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",30,30.0,mc_n300_p005_k15,MS_CTQW_K30_krylov_m30,1,1,1.966974201000994,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
ClassicalClique,mc_n300_p005_k15_001,maximum_clique,15.0,0.023023317000479437,15,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",0,,mc_n300_p005_k15,ClassicalClique,0,0,1.7188797580020037,300,external,ClassicalClique,N/A,ClassicalClique
MS_Random(K=5),mc_n300_p005_k15_001,maximum_clique,15.0,0.026450220997503493,34,15,15,1.0,False,"[0, 192, 288, 262, 295, 169, 9, 42, 43, 80, 178, 279, 184, 189, 94]",5,5.0,mc_n300_p005_k15,MS_Random_K5,0,0,1.7176085859973682,300,external,MS_Random,N/A,MS_Random
"MS_CTQW(K=30,cheb_d50)",mc_n300_p005_k15_000,maximum_clique,15.0,0.7021207549987594,241,15,15,1.0,False,"[64, 34, 290, 164, 102, 136, 170, 204, 44, 110, 209, 220, 150, 282, 252]",30,30.0,mc_n300_p005_k15,MS_CTQW_K30_cheb_d50,1,1,2.3008739599972614,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
MS_Degree(K=5),mc_n300_p005_k15_001,maximum_clique,15.0,0.014030567996087484,70,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",5,5.0,mc_n300_p005_k15,MS_Degree_K5,0,0,1.6187681230003363,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=10),mc_n300_p005_k15_001,maximum_clique,4.0,0.007859837998694275,21,4,15,0.0,False,"[204, 115, 12, 166]",10,10.0,mc_n300_p005_k15,MS_Random_K10,0,0,1.3443817100051092,300,external,MS_Random,N/A,MS_Random
