algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,K,n_seeds_tried,ctqw_seed_reused,beta,display_name
ClassicalClique,ext_mc_C250-9,maximum_clique,42.0,0.21171549999780837,42,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,ClassicalClique,0,0,3.4698700000008103,250,external,ClassicalClique,N/A,0,,,,ClassicalClique
MS_Random(K=5),ext_mc_C250-9,maximum_clique,39.0,0.8859928000019863,187,39,0,0.0,False,"[128, 132, 135, 8, 138, 16, 147, 149, 26, 28, 157, 158, 160, 32, 34, 38, 166, 173, 183, 62, 63, 193, 65, 196, 197, 72, 201, 204, 78, 211, 84, 85, 93, 95, 101, 110, 240, 247, 124]",C250-9,MS_Random_K5,0,0,4.146661200000381,250,external,MS_Random,N/A,5,5.0,,,MS_Random
MS_Degree(K=5),ext_mc_C250-9,maximum_clique,42.0,0.9599936999984493,198,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_Degree_K5,0,0,4.234487700003228,250,external,MS_Degree,N/A,5,5.0,,,MS_Degree
MS_Random(K=10),ext_mc_C250-9,maximum_clique,42.0,1.836722899999586,388,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_Random_K10,0,0,5.0948920999981056,250,external,MS_Random,N/A,10,10.0,,,MS_Random
MS_Degree(K=10),ext_mc_C250-9,maximum_clique,42.0,1.882043600002362,397,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_Degree_K10,0,0,4.979678499999864,250,external,MS_Degree,N/A,10,10.0,,,MS_Degree
MS_Random(K=20),ext_mc_C250-9,maximum_clique,42.0,3.604034199997841,773,42,0,0.0,False,"[133, 5, 137, 141, 14, 144, 149, 157, 158, 159, 162, 40, 45, 47, 49, 177, 189, 62, 195, 196, 197, 71, 203, 208, 83, 211, 85, 220, 97, 226, 229, 104, 233, 107, 240, 114, 242, 116, 117, 119, 123, 124]",C250-9,MS_Random_K20,0,0,6.832493699999759,250,external,MS_Random,N/A,20,20.0,,,MS_Random
MS_Degree(K=20),ext_mc_C250-9,maximum_clique,42.0,3.616895300001488,778,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_Degree_K20,0,0,6.737486199999694,250,external,MS_Degree,N/A,20,20.0,,,MS_Degree
"MS_CTQW(K=5,cheb_d50)",ext_mc_C250-9,maximum_clique,42.0,0.903419300000678,192,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_CTQW_K5_cheb_d50,0,0,4.025180500000715,250,external,MS_CTQW,cheb_d50,5,5.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",ext_mc_C250-9,maximum_clique,42.0,1.8037371999998868,389,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_CTQW_K10_cheb_d50,0,0,4.906769799999893,250,external,MS_CTQW,cheb_d50,10,10.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",ext_mc_C250-9,maximum_clique,42.0,3.658387399998901,788,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_CTQW_K20_cheb_d50,0,0,6.763114800000039,250,external,MS_CTQW,cheb_d50,20,20.0,True,,MS_CTQW_cheb_d50
