source_label,n,K,display_name,runs,mean_objective,max_objective,median_wall_time,p95_wall_time,timeout_rate
C250-9,250,0,ClassicalClique,1,42.0,42.0,3.4698700000008103,3.4698700000008103,0.0
C250-9,250,5,MS_CTQW_cheb_d50,1,42.0,42.0,4.025180500000715,4.025180500000715,0.0
C250-9,250,5,MS_Degree,1,42.0,42.0,4.234487700003228,4.234487700003228,0.0
C250-9,250,5,MS_HybridSeed_b0.25_cheb_d50,1,42.0,42.0,4.140962099998433,4.140962099998433,0.0
C250-9,250,5,MS_HybridSeed_b0.5_cheb_d50,1,42.0,42.0,3.9879398999983096,3.9879398999983096,0.0
C250-9,250,5,MS_HybridSeed_b0.75_cheb_d50,1,42.0,42.0,3.979718899998261,3.979718899998261,0.0
C250-9,250,5,MS_Random,1,39.0,39.0,4.146661200000381,4.146661200000381,0.0
C250-9,250,10,MS_CTQW_cheb_d50,1,42.0,42.0,4.906769799999893,4.906769799999893,0.0
C250-9,250,10,MS_Degree,1,42.0,42.0,4.979678499999864,4.979678499999864,0.0
C250-9,250,10,MS_HybridSeed_b0.25_cheb_d50,1,42.0,42.0,4.954136899999867,4.954136899999867,0.0
C250-9,250,10,MS_HybridSeed_b0.5_cheb_d50,1,42.0,42.0,4.915701699999772,4.915701699999772,0.0
C250-9,250,10,MS_HybridSeed_b0.75_cheb_d50,1,42.0,42.0,4.923596600001474,4.923596600001474,0.0
C250-9,250,10,MS_Random,1,42.0,42.0,5.0948920999981056,5.0948920999981056,0.0
C250-9,250,20,MS_CTQW_cheb_d50,1,42.0,42.0,6.763114800000039,6.763114800000039,0.0
C250-9,250,20,MS_Degree,1,42.0,42.0,6.737486199999694,6.737486199999694,0.0
C250-9,250,20,MS_HybridSeed_b0.25_cheb_d50,1,42.0,42.0,6.798775299997942,6.798775299997942,0.0
C250-9,250,20,MS_HybridSeed_b0.5_cheb_d50,1,42.0,42.0,6.806812999999238,6.806812999999238,0.0
C250-9,250,20,MS_HybridSeed_b0.75_cheb_d50,1,42.0,42.0,6.801222899997811,6.801222899997811,0.0
C250-9,250,20,MS_Random,1,42.0,42.0,6.832493699999759,6.832493699999759,0.0
gen200-p0-9-44,200,0,ClassicalClique,1,35.0,35.0,3.209829499999614,3.209829499999614,0.0
gen200-p0-9-44,200,5,MS_CTQW_cheb_d50,1,37.0,37.0,3.6062873999981093,3.6062873999981093,0.0
gen200-p0-9-44,200,5,MS_Degree,1,38.0,38.0,3.6362169999993057,3.6362169999993057,0.0
gen200-p0-9-44,200,5,MS_HybridSeed_b0.25_cheb_d50,1,38.0,38.0,3.642480800001067,3.642480800001067,0.0
gen200-p0-9-44,200,5,MS_HybridSeed_b0.5_cheb_d50,1,38.0,38.0,3.7162380000008852,3.7162380000008852,0.0
gen200-p0-9-44,200,5,MS_HybridSeed_b0.75_cheb_d50,1,37.0,37.0,3.6250049999980547,3.6250049999980547,0.0
gen200-p0-9-44,200,5,MS_Random,1,38.0,38.0,3.642912899998919,3.642912899998919,0.0
gen200-p0-9-44,200,10,MS_CTQW_cheb_d50,1,38.0,38.0,4.088531499997771,4.088531499997771,0.0
gen200-p0-9-44,200,10,MS_Degree,1,38.0,38.0,4.193055700001423,4.193055700001423,0.0
gen200-p0-9-44,200,10,MS_HybridSeed_b0.25_cheb_d50,1,38.0,38.0,4.081909999997151,4.081909999997151,0.0
gen200-p0-9-44,200,10,MS_HybridSeed_b0.5_cheb_d50,1,38.0,38.0,4.119750399997429,4.119750399997429,0.0
gen200-p0-9-44,200,10,MS_HybridSeed_b0.75_cheb_d50,1,38.0,38.0,4.139275999998063,4.139275999998063,0.0
gen200-p0-9-44,200,10,MS_Random,1,37.0,37.0,4.088935899999342,4.088935899999342,0.0
gen200-p0-9-44,200,20,MS_CTQW_cheb_d50,1,38.0,38.0,5.229043299998011,5.229043299998011,0.0
gen200-p0-9-44,200,20,MS_Degree,1,38.0,38.0,5.057889699997759,5.057889699997759,0.0
gen200-p0-9-44,200,20,MS_HybridSeed_b0.25_cheb_d50,1,38.0,38.0,5.089365799998632,5.089365799998632,0.0
gen200-p0-9-44,200,20,MS_HybridSeed_b0.5_cheb_d50,1,38.0,38.0,5.135404600001493,5.135404600001493,0.0
gen200-p0-9-44,200,20,MS_HybridSeed_b0.75_cheb_d50,1,38.0,38.0,5.081592400001682,5.081592400001682,0.0
gen200-p0-9-44,200,20,MS_Random,1,38.0,38.0,5.054698700001609,5.054698700001609,0.0
p-hat300-3,300,0,ClassicalClique,1,32.0,32.0,3.285479199999827,3.285479199999827,0.0
p-hat300-3,300,5,MS_CTQW_cheb_d50,1,33.0,33.0,3.9132572999988042,3.9132572999988042,0.0
p-hat300-3,300,5,MS_Degree,1,33.0,33.0,3.927256999999372,3.927256999999372,0.0
p-hat300-3,300,5,MS_HybridSeed_b0.25_cheb_d50,1,33.0,33.0,3.910432700002275,3.910432700002275,0.0
p-hat300-3,300,5,MS_HybridSeed_b0.5_cheb_d50,1,33.0,33.0,4.0856714000001375,4.0856714000001375,0.0
