algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,K,n_seeds_tried,ctqw_seed_reused,beta,display_name
ClassicalClique,mc_mislead_n100_p005_k10_000,maximum_clique,7.0,0.0051974000016343,7,7,10,0.6,False,"[0, 70, 7, 20, 60, 63, 31]",mc_mislead_n100_p005_k10,ClassicalClique,0,0,3.334770999998,100,external,ClassicalClique,,0,,,,ClassicalClique
MS_Random(K=5),mc_mislead_n100_p005_k10_000,maximum_clique,9.0,0.006153299997095,16,9,10,0.8,False,"[0, 33, 66, 36, 70, 41, 81, 60, 31]",mc_mislead_n100_p005_k10,MS_Random_K5,0,0,3.2178316000026825,100,external,MS_Random,,5,5.0,,,MS_Random
MS_Degree(K=5),mc_mislead_n100_p005_k10_000,maximum_clique,10.0,0.0111861999976099,34,10,10,0.9,False,"[0, 33, 66, 36, 7, 41, 44, 31, 60, 63]",mc_mislead_n100_p005_k10,MS_Degree_K5,0,0,3.313169299999572,100,external,MS_Degree,,5,5.0,,,MS_Degree
MS_Random(K=10),mc_mislead_n100_p005_k10_000,maximum_clique,10.0,0.0115838999990955,34,10,10,0.9,False,"[0, 33, 66, 36, 70, 7, 41, 45, 60, 31]",mc_mislead_n100_p005_k10,MS_Random_K10,0,0,3.28142619999926,100,external,MS_Random,,10,10.0,,,MS_Random
MS_Degree(K=10),mc_mislead_n100_p005_k10_000,maximum_clique,10.0,0.0156425999994098,65,10,10,0.9,False,"[0, 33, 66, 36, 7, 41, 44, 31, 60, 63]",mc_mislead_n100_p005_k10,MS_Degree_K10,0,0,3.237337300000945,100,external,MS_Degree,,10,10.0,,,MS_Degree
MS_Random(K=20),mc_mislead_n100_p005_k10_000,maximum_clique,10.0,0.0163907000023755,51,10,10,0.9,False,"[0, 33, 66, 36, 70, 7, 41, 45, 60, 31]",mc_mislead_n100_p005_k10,MS_Random_K20,0,0,3.3445571000011114,100,external,MS_Random,,20,20.0,,,MS_Random
MS_Degree(K=20),mc_mislead_n100_p005_k10_000,maximum_clique,10.0,0.0257766999966406,126,10,10,0.9,False,"[0, 33, 66, 36, 7, 41, 44, 31, 60, 63]",mc_mislead_n100_p005_k10,MS_Degree_K20,0,0,3.17405620000136,100,external,MS_Degree,,20,20.0,,,MS_Degree
"MS_CTQW(K=5,cheb_d50)",mc_mislead_n100_p005_k10_000,maximum_clique,10.0,0.0086711999974795,36,10,10,0.9,False,"[0, 33, 66, 36, 7, 41, 44, 31, 60, 63]",mc_mislead_n100_p005_k10,MS_CTQW_K5_cheb_d50,0,0,3.1067369999982475,100,external,MS_CTQW,cheb_d50,5,5.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",mc_mislead_n100_p005_k10_000,maximum_clique,10.0,0.0144647000015538,65,10,10,0.9,False,"[0, 33, 66, 36, 7, 41, 44, 31, 60, 63]",mc_mislead_n100_p005_k10,MS_CTQW_K10_cheb_d50,0,0,3.070244200000161,100,external,MS_CTQW,cheb_d50,10,10.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",mc_mislead_n100_p005_k10_000,maximum_clique,10.0,0.025433000002522,126,10,10,0.9,False,"[0, 33, 66, 36, 7, 41, 44, 31, 60, 63]",mc_mislead_n100_p005_k10,MS_CTQW_K20_cheb_d50,0,0,3.077771100000973,100,external,MS_CTQW,cheb_d50,20,20.0,True,,MS_CTQW_cheb_d50
